# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
    1341.229       99.700    35323.551    38430.734
    1351.240       99.800    35545.449    38655.797
    1361.250       99.700    35767.309    38880.832
    1371.261       99.800    35989.062    39105.855
    1381.271       99.800    36210.770    39329.895
    1391.281       99.800    36432.293    39554.973
    1401.291       99.700    36654.250    39779.957
    1411.302       99.800    36864.762    39993.562
    1421.312       99.800    37073.598    40205.039
    1431.318       99.700    37273.668    40408.371
    1441.321       99.800    37485.426    40623.133
    1451.332       99.800    37707.012    40847.141
    1461.342       99.700    37928.828    41072.113
    1471.348       99.800    38128.660    41274.434
    1481.359       99.800    38316.992    41465.188
    1491.369       99.700    38538.609    41690.258
    1501.380       99.800    38761.473    41916.762
    1511.391       99.700    38967.301    42124.707
    1521.402       99.900    39149.664    42309.809
    1531.412       99.800    39371.957    42534.984
    1541.423       99.700    39588.207    42754.230
    1551.427       99.800    39760.352    42929.008
    1561.438       99.700    39981.746    43153.035
    1571.448       99.800    40201.445    43376.820
    1581.459       99.800    40369.645    43547.070
    1591.470       99.700    40591.238    43771.082
    1601.481       99.800    40785.297    43968.613
    1611.491       99.800    40979.523    44165.152
    1621.501       99.800    41192.949    44381.141
    1631.502       99.700    41367.098    44558.141
    1641.506       99.900    41588.516    44782.176
    1651.517       99.700    41766.699    44963.773
    1661.527       99.800    41976.758    45176.277
    1671.537       99.700    42164.324    45367.004
    1681.546       99.800    42364.316    45569.289
    1691.549       99.800    42546.016    45753.215
    1701.552       99.800    42752.043    45962.324
    1711.562       99.800    42941.250    46154.207
    1721.572       99.700    43140.719    46356.441
    1731.583       99.800    43320.172    46538.145
    1741.593       99.700    43529.164    46750.512
    1751.604       99.900    43695.492    46918.645
    1761.614       99.800    43913.934    47140.168
    1771.625       99.700    44083.254    47311.602
    1781.635       99.800    45529.402    48760.641
    1791.646       99.700    45695.855    48926.652
    1801.656       99.800    45913.684    49144.215
    1811.667       99.800    46083.969    49314.727
    1821.677       99.800    46250.121    49480.738
    1831.688       99.700    46471.539    49701.703
    1841.698       99.800    46637.633    49867.730
    1851.709       99.700    46837.207    50068.031
    1861.719       99.800    47024.949    50256.723
    1871.730       99.800    47191.125    50424.750
    1881.740       99.800    47376.855    50613.238
    1891.750       99.700    47579.207    50817.797
    1901.761       99.800    47745.352    50986.781
    1911.772       99.800    47914.430    51158.203
    1921.782       99.700    48133.336    51379.887
    1931.789       99.700    48299.648    51548.883
    1941.790       99.800    48465.883    51716.926
    1951.791       99.800    48639.090    51892.848
    1961.801       99.800    48844.367    52100.742
    1971.806       99.800    49019.719    52278.922
    1981.809       99.800    49185.988    52446.918
    1991.820       99.800    49353.594    52617.215
    2001.830       99.700    49560.070    52827.266
    2011.840       99.800    49740.195    53009.062
    2021.846       99.800    49906.344    53178.062
    2031.856       99.700    50072.512    53346.102
    2041.866       99.700    50238.789    53515.098
    2051.877       99.800    50416.902    53695.570
    2061.887       99.800    50620.422    53902.410
    2071.897       99.800    50793.355    54077.207
    2081.908       99.700    50959.637    54245.191
    2091.918       99.800    51126.016    54414.332
    2101.928       99.800    51292.484    54583.387
    2111.930       99.700    51458.520    54751.379
    2121.940       99.800    51624.754    54920.383
    2131.945       99.800    51807.652    55105.453
    2141.956       99.800    51991.195    55291.738
    2151.966       99.800    52169.656    55472.199
    2161.977       99.700    52343.129    55648.113
    2171.978       99.800    52511.266    55818.512
    2181.989       99.800    52677.766    55987.477
    2192.000       99.700    52844.059    56156.492
    2202.002       99.900    53009.695    56324.457
    2212.012       99.700    53176.195    56492.488
    2222.023       99.800    53342.633    56661.598
    2232.033       99.800    53508.855    56830.625
    2242.044       99.800    53675.191    56998.648
    2252.055       99.700    53841.375    57167.605
    2262.065       99.800    54007.652    57335.625
    2272.069       99.800    54174.246    57504.668
    2282.070       99.800    54340.785    57673.828
    2292.080       99.700    54507.531    57842.820
    2302.091       99.800    54674.746    58012.059
    2312.102       99.800    54841.969    58182.090
    2322.112       99.700    55009.238    58351.246
    2332.123       99.800    55175.824    58520.273
    2342.133       99.800    55333.148    58680.125
    2352.136       99.800    55496.988    58845.887
    2362.147       99.800    55651.137    59002.320
    2372.157       99.700    55793.699    59146.312
    2382.168       99.800    55956.457    59311.949
    2392.178       99.800    56123.195    59481.020
    2402.189       99.700    56289.957    59650.008
    2412.199       99.800    56456.590    59819.055
    2422.209       99.800    56623.402    59988.148
    2432.220       99.700    56790.277    60157.180
    2442.230       99.800    56951.953    60320.660
    2452.241       99.800    57085.520    60456.516
    2462.251       99.800    57235.363    60608.426
    2472.262       99.700    57402.312    60777.523
    2482.272       99.800    57569.125    60946.520
    2492.283       99.700    57736.309    61116.629
    2502.293       99.900    57903.387    61285.750
    2512.302       99.700    58056.234    61441.066
    2522.304       99.700    58181.535    61567.891
    2532.315       99.800    58348.309    61737.000
    2542.325       99.800    58515.355    61906.051
    2552.336       99.800    58682.359    62075.145
    2562.346       99.800    58824.000    62219.082
    2572.354       99.700    58953.832    62350.539
    2582.364       99.700    59060.555    62459.250
    2592.375       99.800    59146.652    62546.289
    2602.385       99.800    59232.805    62633.430
    2612.386       99.800    59319.242    62720.652
    2622.389       99.800    59416.285    62819.156
    2632.400       99.800    59522.691    62926.949
    2642.409       99.700    59597.082    63002.934
    2652.419       99.700    59676.074    63082.500
    2662.422       99.900    59802.871    63211.211
    2672.433       99.700    60001.234    63411.977
    2682.443       99.800    60205.238    63619.660
    2692.444       99.800    60501.273    63919.023
    2702.454       99.700    60818.863    64239.934
    2712.462       99.800    61250.203    64678.203
    2722.472       99.700    61611.230    65045.438
    2732.482       99.700    61969.441    65406.309
    2742.493       99.800    62384.918    65826.695
    2752.494       99.700    62869.648    66320.762
    2762.505       99.700    63341.387    66797.656
    2772.515       99.800    63739.961    67202.762
    2782.526       99.700    64096.773    67560.629
    2792.527       99.900    64834.637    68312.270
    2802.538       99.800    65145.941    68625.844
    2812.548       99.600    65769.016    69256.586
    2822.559       99.900    66125.320    69614.488
    2832.563       99.700    66815.500    70314.906
    2842.571       99.800    67080.391    70590.145
    2852.581       99.600    67801.703    71303.992
    2862.591       99.700    68047.320    71561.184
    2872.602       99.800    68551.691    72067.762
    2882.610       99.700    69169.145    72687.527
    2892.620       99.800    69495.242    73029.055
    2902.631       99.800    69804.980    73339.617
    2912.635       99.700    70397.711    73934.016
    2922.639       99.700    71014.941    74556.062
    2932.649       99.900    71124.531    74680.918
    2942.659       99.700    71639.715    75191.938
    2952.669       99.700    72255.359    75801.586
    2962.680       99.700    72867.824    76411.082
    2972.690       99.800    72956.078    76516.859
    2982.701       99.700    73342.453    76903.570
    2992.705       99.800    73955.965    77521.137
    3002.710       99.800    74571.234    78138.668
    3012.721       99.800    75017.035    78604.715
    3022.731       99.800    75036.590    78624.297
    3032.741       99.700    75651.484    79233.867
    3042.752       99.700    76264.664    79842.324
    3052.762       99.800    76861.277    80433.285
    3062.772       99.700    77330.695    80924.090
    3072.783       99.900    77330.695    80924.090
    3082.793       99.700    77796.363    81391.113
    3092.804       99.800    78410.789    82007.484
    3102.814       99.700    79021.379    82622.633
    3112.820       99.800    79631.223    83236.676
    3122.830       99.700    79939.383    83566.051
    3132.841       99.800    79939.383    83566.051
    3142.849       99.800    80440.684    84069.395
    3152.860       99.700    81051.629    84684.582
    3162.870       99.700    81660.633    85296.184
    3172.881       99.700    82270.449    85910.246
    3182.891       99.800    82868.297    86536.590
    3192.901       99.800    82868.297    86536.590
    3202.906       99.700    82944.391    86613.930
    3212.916       99.800    83553.785    87217.680
    3222.922       99.800    84165.379    87824.922
    3232.932       99.800    84781.695    88435.574
    3242.942       99.700    85392.574    89042.828
    3252.953       99.700    86004.242    89680.676
    3262.964       99.800    86160.402    89837.641
    3272.974       99.700    86160.402    89837.641
    3282.984       99.900    86541.297    90215.621
    3292.995       99.600    87153.789    90821.781
    3303.005       99.800    87764.977    91428.934
    3313.016       99.600    88376.773    92035.008
    3323.026       99.700    88984.020    92638.719
    3333.037       99.800    89593.332    93242.648
    3343.048       99.700    89866.094    93547.664
    3353.058       99.800    89866.094    93547.664
    3363.068       99.700    89951.848    93631.066
    3373.079       99.800    90560.984    94245.004
    3383.089       99.700    91173.508    94860.094
    3393.099       99.700    91783.609    95474.180
    3403.103       99.800    92394.133    96087.133
    3413.110       99.700    93003.457    96701.074
    3423.111       99.700    93599.828    97300.113
    3433.122       99.700    94033.348    97770.105
    3443.132       99.800    94033.348    97770.105
    3453.137       99.700    94033.348    97770.105
    3463.148       99.700    94343.012    98080.805
    3473.158       99.800    94954.344    98694.699
    3483.168       99.800    95562.078    99306.445
    3493.179       99.700    96170.570    99917.094
    3503.189       99.600    96751.797   100502.273
    3513.200       99.800    97355.836   101109.242
    3523.204       99.800    97966.465   101723.352
    3533.214       99.800    98577.957   102381.004
    3543.218       99.800    98719.391   102524.035
    3553.228       99.700    98719.391   102524.035
    3563.239       99.900    98719.391   102524.035
    3573.241       99.600    99227.918   103029.367
    3583.251       99.800    99839.379   103634.398
    3593.262       99.700   100447.504   104239.168
    3603.272       99.700   101058.047   104843.078
    3613.283       99.900   101666.766   105445.680
    3623.293       99.700   102259.594   106035.414
    3633.299       99.800   102844.992   106616.117
    3643.304       99.800   103426.137   107191.043
    3653.314       99.700   103990.430   107804.973
    3663.324       99.700   103990.430   107804.973
    3673.335       99.900   103990.430   107804.973
    3683.345       99.700   103990.430   107804.973
    3693.347       99.800   104491.691   108303.312
    3703.357       99.700   105093.594   108901.195
    3713.368       99.800   105696.023   109497.953
    3723.378       99.800   106296.188   110093.816
    3733.389       99.800   106898.238   110689.508
    3743.399       99.800   107497.211   111285.016
    3753.410       99.700   108090.293   111871.574
    3763.420       99.800   108660.562   112438.250
    3773.431       99.800   109260.121   113031.664
    3783.441       99.700   109857.898   113679.152
    3793.452       99.800   109918.586   113740.301
    3803.462       99.800   109918.586   113740.301
    3813.473       99.800   109918.586   113740.301
    3823.483       99.700   110009.711   113831.723
    3833.494       99.800   110610.414   114434.266
    3843.504       99.800   111208.105   115036.688
    3853.515       99.700   111807.012   115636.922
    3863.525       99.800   112404.223   116238.203
    3873.535       99.800   112982.742   116818.730
    3883.546       99.700   113565.871   117406.207
    3893.556       99.800   114167.723   118009.926
    3903.567       99.800   114761.871   118607.797
    3913.577       99.700   115326.016   119176.762
    3923.588       99.800   115900.227   119751.688
    3933.595       99.600   116465.172   120377.664
    3943.605       99.800   116587.055   120496.961
    3953.616       99.800   116587.055   120496.961
    3963.626       99.700   116587.055   120496.961
    3973.633       99.800   116587.055   120496.961
    3983.644       99.800   117001.766   120914.867
    3993.649       99.600   117567.316   121481.609
    4003.656       99.800   118147.012   122065.527
    4013.666       99.800   118739.043   122659.008
    4023.677       99.700   119330.199   123254.512
    4033.687       99.800   119921.094   123849.953
    4043.698       99.800   120509.434   124439.879
    4053.708       99.800   121077.645   125012.258
    4063.719       99.700   121649.547   125585.852
    4073.729       99.800   122237.441   126177.926
    4083.740       99.800   122825.395   126767.715
    4093.750       99.700   123399.090   127344.859
    4103.761       99.800   123961.246   127979.305
    4113.771       99.800   124085.156   128104.992
    4123.778       99.700   124085.156   128104.992
    4133.788       99.700   124085.156   128104.992
    4143.799       99.800   124085.156   128104.992
    4153.807       99.800   124233.926   128253.895
    4163.811       99.800   124791.176   128814.828
    4173.822       99.700   125374.820   129400.012
    4183.832       99.800   125964.340   129993.363
    4193.843       99.800   126556.000   130587.707
    4203.853       99.700   127144.066   131179.785
    4213.864       99.800   127729.641   131769.480
    4223.866       99.800   128300.266   132340.988
    4233.877       99.800   128863.891   132908.758
    4243.882       99.800   129450.316   133497.320
    4253.892       99.800   130036.344   134087.199
    4263.902       99.700   130617.336   134670.082
    4273.913       99.800   131170.453   135226.375
    4283.923       99.800   131754.559   135814.969
    4293.934       99.700   132342.258   136483.422
    4303.944       99.800   132520.680   136662.254
    4313.950       99.700   132520.680   136662.254
    4323.960       99.800   132520.680   136662.254
    4333.970       99.800   132520.680   136662.254
    4343.981       99.700   132520.680   136662.254
    4353.983       99.800   132654.086   136797.371
    4363.990       99.700   133228.297   137375.570
    4374.000       99.600   133819.160   137965.520
    4384.010       99.700   134403.098   138554.105
    4394.021       99.800   134960.660   139112.750
    4404.031       99.600   135542.297   139699.027
    4414.041       99.700   136146.445   140305.043
    4424.052       99.600   136741.418   140904.016
    4434.062       99.800   137315.297   141479.871
    4444.068       99.600   137897.613   142066.273
    4454.079       99.700   138451.410   142623.742
    4464.089       99.700   139012.156   143185.898
    4474.100       99.600   139599.145   143776.793
    4484.110       99.700   140177.918   144359.637
    4494.121       99.600   140746.094   144928.734
    4504.131       99.600   141313.629   145501.188
    4514.141       99.700   141893.094   146171.324
    4524.151       99.700   142006.023   146285.602
    4534.161       99.700   142006.023   146285.602
    4544.171       99.800   142006.023   146285.602
    4554.182       99.800   142006.023   146285.602
    4564.192       99.700   142006.023   146285.602
    4574.202       99.700   142006.023   146285.602
    4584.213       99.700   142440.461   146721.883
    4594.223       99.600   143022.621   147305.840
    4604.234       99.700   143601.738   147888.707
    4614.244       99.700   144173.828   148464.750
    4624.254       99.700   144739.582   149032.508
    4634.261       99.600   145327.824   149624.625
    4644.264       99.700   145914.688   150213.230
    4654.275       99.700   146512.324   150814.637
    4664.283       99.700   147107.754   151412.555
    4674.294       99.700   147679.191   151987.309
    4684.304       99.700   148244.465   152556.430
    4694.315       99.700   148837.402   153151.789
    4704.325       99.600   149430.008   153748.480
    4714.334       99.700   150004.266   154324.539
    4724.345       99.700   150538.656   154862.320
    4734.349       99.700   151111.133   155438.328
    4744.360       99.700   151688.062   156016.566
    4754.370       99.600   152264.215   156695.527
    4764.381       99.700   152670.621   157105.305
    4774.391       99.700   152670.621   157105.305
    4784.401       99.700   152670.621   157105.305
    4794.412       99.600   152670.621   157105.305
    4804.413       99.700   152670.621   157105.305
    4814.424       99.800   152670.621   157105.305
    4824.434       99.800   152670.621   157105.305
    4834.445       99.700   153001.766   157437.586
    4844.455       99.600   153563.473   158002.289
    4854.466       99.700   154135.324   158575.926
    4864.476       99.700   154708.664   159152.988
    4874.486       99.700   155276.004   159724.344
    4884.497       99.700   155862.043   160311.828
    4894.502       99.700   156451.898   160906.148
    4904.508       99.600   157013.805   161469.434
    4914.510       99.700   157607.156   162066.762
    4924.519       99.600   158231.043   162693.484
    4934.529       99.800   158826.250   163290.238
    4944.540       99.700   159384.727   163852.441
    4954.550       99.700   159944.090   164413.332
    4964.552       99.600   160514.766   164988.078
    4974.563       99.700   161071.488   165548.883
    4984.573       99.700   161654.965   166134.062
    4994.584       99.600   162215.531   166698.410
    5004.594       99.700   162777.449   167262.945
    5014.605       99.700   163354.473   167842.254
    5024.615       99.700   163950.582   168553.383
    5034.626       99.700   164577.590   169183.219
    5044.628       99.600   164649.793   169255.930
    5054.630       99.800   164649.793   169255.930
    5064.640       99.700   164649.793   169255.930
    5074.650       99.600   164649.793   169255.930
    5084.661       99.800   164649.793   169255.930
    5094.671       99.700   164649.793   169255.930
    5104.674       99.700   164649.793   169255.930
    5114.685       99.800   164731.383   169336.727
    5124.695       99.700   165309.082   169918.449
    5134.701       99.600   165903.883   170515.125
    5144.712       99.800   166458.199   171072.699
    5154.714       99.700   167042.277   171661.285
    5164.724       99.700   167635.352   172255.734
    5174.735       99.700   168224.359   172848.977
    5184.745       99.700   168817.516   173444.508
    5194.756       99.800   169449.797   174079.172
    5204.766       99.600   170105.520   174737.781
    5214.776       99.700   170658.188   175293.156
    5224.786       99.700   171244.695   175881.785
    5234.796       99.600   171835.309   176477.176
    5244.806       99.700   172426.387   177070.434
    5254.816       99.600   172973.590   177620.004
    5264.826       99.800   173516.566   178166.930
    5274.836       99.600   174096.918   178748.789
    5284.846       99.700   174668.344   179324.625
    5294.855       99.700   175249.332   179907.484
    5304.865       99.700   175781.660   180442.980
    5314.872       99.600   176330.785   180995.801
    5324.874       99.800   176882.875   181677.152
    5334.884       99.600   177454.500   182250.699
    5344.894       99.700   178006.379   182803.906
    5354.897       99.800   178162.320   182957.746
    5364.905       99.500   178162.320   182957.746
    5374.916       99.800   178162.320   182957.746
    5384.926       99.700   178162.320   182957.746
    5394.936       99.800   178162.320   182957.746
    5404.947       99.700   178162.320   182957.746
    5414.950       99.800   178162.320   182957.746
    5424.961       99.800   178162.320   182957.746
    5434.971       99.700   178267.852   183063.008
    5444.982       99.700   178865.844   183655.227
    5454.992       99.700   179459.363   184240.254
    5465.003       99.700   180078.527   184853.340
    5475.013       99.600   180797.477   185564.629
    5485.024       99.800   181456.805   186215.918
    5495.027       99.600   182140.605   186891.664
    5505.038       99.800   182847.426   187590.727
    5515.048       99.700   183545.672   188280.219
    5525.059       99.700   184228.309   188955.699
    5535.059       99.600   184896.535   189615.629
    5545.070       99.600   185538.332   190252.000
    5555.080       99.700   186198.250   190903.359
    5565.091       99.800   186869.137   191566.801
    5575.096       99.800   187561.977   192251.141
    5585.106       99.600   188242.832   193067.492
    5595.116       99.700   188925.555   193750.945
    5605.127       99.600   189625.359   194451.684
    5615.137       99.700   190334.691   195162.273
    5625.148       99.800   191020.629   195848.410
    5635.149       99.700   191705.266   196534.414
    5645.159       99.600   192342.762   197171.508
    5655.160       99.700   193011.234   197840.504
    5665.170       99.700   193046.086   197875.922
    5675.181       99.600   193046.086   197875.922
    5685.191       99.700   193046.086   197875.922
    5695.202       99.800   193046.086   197875.922
    5705.212       99.700   193046.086   197875.922
    5715.223       99.800   193046.086   197875.922
    5725.233       99.700   193046.086   197875.922
    5735.243       99.800   193046.086   197875.922
    5745.254       99.800   193046.086   197875.922
    5755.256       99.700   193464.062   198295.070
    5765.266       99.600   194155.551   198987.250
    5775.277       99.800   194869.973   199703.758
    5785.288       99.700   195587.430   200421.789
    5795.298       99.400   196303.625   201139.555
    5805.302       99.700   197019.203   201853.930
    5815.312       99.700   197704.824   202542.328
    5825.322       99.600   198340.246   203178.164
    5835.332       99.700   199020.363   203858.250
    5845.340       99.500   199731.504   204571.098
    5855.350       99.800   200434.047   205274.379
    5865.361       99.700   201125.273   206120.160
    5875.364       99.700   201835.562   206821.879
    5885.374       99.700   202513.016   207495.488
    5895.385       99.600   203195.668   208179.137
    5905.395       99.700   203905.090   208889.594
    5915.406       99.700   204595.855   209581.801
    5925.416       99.700   205273.703   210259.410
    5935.427       99.700   205965.297   210952.617
    5945.437       99.700   206622.430   211609.461
    5955.447       99.700   207266.129   212256.223
    5965.458       99.700   207919.727   212909.371
    5975.468       99.700   207919.727   212909.371
    5985.478       99.600   207919.727   212909.371
    5995.489       99.700   207919.746   212909.371
    6005.492       99.800   207919.746   212909.371
    6015.502       99.600   208419.406   213414.375
    6025.506       99.800   208419.406   213414.375
    6035.516       99.700   208419.406   213414.375
    6045.527       99.700   208419.406   213414.375
    6055.537       99.800   208419.406   213414.375
    6065.547       99.800   208419.406   213414.375
    6075.556       99.700   208419.406   213414.375
    6085.557       99.800   208419.406   213414.375
    6095.561       99.800   208419.406   213414.375
    6105.563       99.800   208419.406   213414.375
    6115.565       99.700   209416.449   214417.375
    6125.576       99.800   210915.332   215924.375
    6135.586       99.800   211923.883   216944.375
    6145.596       99.700   213635.754   218662.375
    6155.606       99.800   213635.754   218662.375
    6165.617       99.800   213635.754   218662.375
    6175.627       99.700   213635.754   218662.375
    6185.638       99.800   213635.754   218662.375
    6195.648       99.700   213635.754   218662.375
    6205.655       99.800   213635.754   218662.375
    6215.665       99.800   213635.754   218662.375
    6225.676       99.700   213635.754   218662.375
    6235.686       99.700   213635.754   218662.375
    6245.687       99.800   213713.395   218741.375
    6255.698       99.800   214212.117   219248.375
    6265.702       99.800   214508.703   219549.375
    6275.712       99.800   214900.590   219947.375
    6285.723       99.700   215230.086   220282.375
    6295.733       99.900   215385.270   220439.375
    6305.744       99.700   215620.164   220678.375
    6315.754       99.800   216331.836   221391.379
    6325.764       99.700   216971.836   222031.379
    6335.774       99.800   218251.836   223311.379
    6345.785       99.700   218251.836   223311.379
    6355.796       99.800   219079.512   224144.383
    6365.806       99.800   220902.531   225976.383
    6375.817       99.800   221893.539   226982.383
    6385.827       99.700   223694.984   228790.383
    6395.838       99.800   223863.863   228959.383
    6405.848       99.800   223863.863   228959.383
    6415.857       99.700   223863.863   228959.383
    6425.868       99.800   223863.863   228959.383
    6435.873       99.800   223863.863   228959.383
    6445.884       99.700   223863.863   228959.383
    6455.894       99.700   223863.863   228959.383
    6465.905       99.800   223863.863   228959.383
    6475.916       99.800   223863.863   228959.383
    6485.926       99.800   223863.863   228959.383
    6495.937       99.800   223863.863   228959.383
    6505.947       99.700   223863.863   228959.383
    6515.958       99.800   225360.770   230464.383
    6525.968       99.700   230975.309   236168.383
    6535.979       99.800   232498.426   237715.383
    6545.989       99.800   232498.426   237715.383
    6556.000       99.700   232498.426   237715.383
    6566.010       99.800   232498.426   237715.383
    6576.021       99.800   232498.426   237715.383
    6586.031       99.800   232498.426   237715.383
    6596.041       99.800   232498.426   237715.383
    6606.052       99.700   232498.426   237715.383
    6616.058       99.800   232498.426   237715.383
    6626.069       99.700   232498.426   237715.383
    6636.080       99.800   232498.426   237715.383
    6646.090       99.800   232498.426   237715.383
    6656.100       99.700   234267.820   239513.383
    6666.111       99.800   240260.039   245600.383
    6676.122       99.700   244871.816   250285.383
    6686.131       99.800   244871.816   250285.383
    6696.142       99.800   244871.816   250285.383
    6706.152       99.800   244871.816   250285.383
    6716.163       99.700   244871.816   250285.383
    6726.163       99.800   244871.816   250285.383
    6736.174       99.700   244871.816   250285.383
    6746.184       99.800   244871.816   250285.383
    6756.194       99.800   244871.816   250285.383
    6766.205       99.800   244871.816   250285.383
    6776.209       99.800   244871.816   250285.383
    6786.219       99.700   244871.816   250285.383
    6796.230       99.800   244871.816   250285.383
    6806.241       99.800   244871.816   250285.383
    6816.251       99.800   244925.027   250339.383
    6826.262       99.800   250979.289   256489.383
    6836.272       99.700   257103.508   262711.383
    6846.274       99.800   261773.281   267454.383
    6856.284       99.700   261773.281   267454.383
    6866.295       99.900   261773.281   267454.383
    6876.305       99.700   261773.281   267454.383
    6886.316       99.700   261773.281   267454.383
    6896.326       99.800   261773.281   267454.383
    6906.337       99.800   261773.281   267454.383
    6916.347       99.700   261773.281   267454.383
    6926.357       99.800   261773.281   267454.383
    6936.367       99.800   261773.281   267454.383
    6946.368       99.800   261773.281   267454.383
    6956.371       99.800   261773.281   267454.383
    6966.373       99.700   261773.281   267454.383
    6976.375       99.800   261773.281   267454.383
    6986.385       99.800   261773.281   267454.383
    6996.396       99.800   262412.078   268103.383
    7006.402       99.700   268586.699   274382.641
